Sample,R,G,B,Class
1,173,160,150,Immature
2,178,165,153,Immature
3,164,154,146,Immature
4,167,155,147,Immature
5,172,161,152,Immature
6,166,153,140,Immature
7,159,149,142,Immature
8,165,149,136,Immature
9,174,163,156,Immature
10,157,144,133,Immature
11,169,159,152,Immature
12,168,153,139,Immature
13,177,164,153,Immature
14,178,167,157,Immature
15,177,165,155,Immature
16,174,160,150,Immature
17,165,154,147,Immature
18,170,161,156,Immature
19,164,151,140,Immature
20,171,158,143,Immature
21,170,159,152,Immature
22,176,166,158,Immature
23,168,152,140,Immature
24,172,161,154,Immature
25,168,156,147,Immature
26,164,151,138,Immature
27,158,145,136,Immature
28,162,150,138,Immature
29,171,158,150,Immature
30,167,154,145,Immature
31,171,161,153,Immature
32,162,149,139,Immature
33,170,161,155,Immature
34,174,163,156,Immature
35,174,162,153,Immature
36,169,156,145,Immature
37,173,162,153,Immature
38,174,160,149,Immature
39,176,165,157,Immature
40,164,154,146,Immature
41,165,153,145,Immature
42,163,151,143,Immature
43,172,161,153,Immature
44,168,154,144,Immature
45,169,158,149,Immature
46,160,151,144,Immature
47,172,160,147,Immature
48,172,162,154,Immature
49,166,155,147,Immature
50,176,165,158,Immature
51,175,163,153,Immature
52,169,159,150,Immature
53,163,151,138,Immature
54,182,170,160,Immature
55,169,156,146,Immature
56,165,153,145,Immature
57,174,162,153,Immature
58,170,157,144,Immature
59,167,154,144,Immature
60,165,152,139,Immature
61,170,159,149,Immature
62,171,160,151,Immature
63,162,150,138,Immature
64,151,142,136,Immature
65,168,155,146,Immature
66,171,160,153,Immature
67,171,156,142,Immature
68,176,165,155,Immature
69,178,165,152,Immature
70,158,146,136,Immature
71,172,161,150,Immature
72,170,160,152,Immature
73,171,159,147,Immature
74,175,164,156,Immature
75,180,168,159,Immature
76,155,142,132,Immature
77,170,157,140,Immature
78,165,153,145,Immature
79,179,167,158,Immature
80,170,157,146,Immature
81,167,158,151,Immature
82,166,153,142,Immature
83,165,152,143,Immature
84,169,158,149,Immature
85,172,161,154,Immature
86,169,158,147,Immature
87,165,153,143,Immature
88,164,150,140,Immature
89,173,160,148,Immature
90,162,147,135,Immature
91,189,170,157,Mature
92,182,163,151,Mature
93,180,156,141,Mature
94,177,158,145,Mature
95,179,158,145,Mature
96,179,159,146,Mature
97,185,163,150,Mature
98,175,159,147,Mature
99,182,159,145,Mature
100,180,161,148,Mature
101,175,161,150,Mature
102,180,153,135,Mature
103,185,158,142,Mature
104,183,169,157,Mature
105,184,162,147,Mature
106,174,150,135,Mature
107,185,169,157,Mature
108,178,155,140,Mature
109,180,165,152,Mature
110,173,150,138,Mature
111,173,146,132,Mature
112,183,162,150,Mature
113,185,169,157,Mature
114,180,163,151,Mature
115,187,171,159,Mature
116,173,153,141,Mature
117,183,166,152,Mature
118,180,161,148,Mature
119,183,167,156,Mature
120,176,150,136,Mature
121,178,159,149,Mature
122,182,169,158,Mature
123,186,160,146,Mature
124,189,172,160,Mature
125,178,153,140,Mature
126,184,162,147,Mature
127,180,159,146,Mature
128,170,144,134,Mature
129,184,166,152,Mature
130,188,173,162,Mature
131,182,165,152,Mature
132,178,164,153,Mature
133,180,161,149,Mature
134,174,150,134,Mature
135,171,141,126,Mature
136,182,167,155,Mature
137,176,161,150,Mature
138,181,160,147,Mature
139,183,161,147,Mature
140,187,163,148,Mature
141,177,163,153,Mature
142,177,148,135,Mature
143,186,165,151,Mature
144,187,168,156,Mature
145,172,150,134,Mature
146,179,163,152,Mature
147,172,147,133,Mature
148,184,164,151,Mature
149,183,161,147,Mature
150,186,174,165,Mature
151,177,153,139,Mature
152,177,153,139,Mature
153,180,156,141,Mature
154,181,156,142,Mature
155,187,172,160,Mature
156,175,148,132,Mature
157,187,166,153,Mature
158,178,163,151,Mature
159,177,155,142,Mature
160,178,154,139,Mature
161,179,154,141,Mature
162,181,154,139,Mature
163,185,166,153,Mature
164,182,167,154,Mature
165,186,171,159,Mature
166,171,145,131,Mature
167,187,167,154,Mature
168,188,164,149,Mature
169,185,161,148,Mature
170,181,163,151,Mature
171,173,156,144,Mature
172,183,166,154,Mature
173,174,147,132,Mature
174,175,160,149,Mature
175,182,156,140,Mature
176,179,155,141,Mature
177,185,160,144,Mature
178,182,160,146,Mature
179,180,158,145,Mature
180,180,163,150,Mature
